provinsi,jumlah_hotel,url
Provinsi Bali,24369,https://www.agoda.com/id-id/region/bali-province-id.html
Provinsi Jawa Barat,7984,https://www.agoda.com/id-id/region/west-java-province-id.html
Provinsi DKI Jakarta,6804,https://www.agoda.com/id-id/region/dki-jakarta-province-id.html
Provinsi Jawa Timur,4971,https://www.agoda.com/id-id/region/east-java-province-id.html
Provinsi D.I. Yogyakarta,3428,https://www.agoda.com/id-id/region/d-i-yogyakarta-province-id.html
Provinsi Banten,2222,https://www.agoda.com/id-id/region/banten-province-id.html
Provinsi Jawa Tengah,2160,https://www.agoda.com/id-id/region/central-java-province-id.html
Provinsi Nusa Tenggara Barat,2044,https://www.agoda.com/id-id/region/west-nusa-tenggara-province-id.html
Provinsi Sumatera Utara,1077,https://www.agoda.com/id-id/region/north-sumatera-province-id.html
Provinsi Sulawesi Selatan,824,https://www.agoda.com/id-id/region/south-sulawesi-province-id.html
Provinsi Kepulauan Riau,757,https://www.agoda.com/id-id/region/riau-islands-province-id.html
Provinsi Sumatera Barat,422,https://www.agoda.com/id-id/region/west-sumatera-province-id.html
Provinsi Nusa Tenggara Timur,407,https://www.agoda.com/id-id/region/east-nusa-tenggara-province-id.html
Provinsi Sumatera Selatan,398,https://www.agoda.com/id-id/region/south-sumatera-province-id.html
Provinsi Sulawesi Utara,389,https://www.agoda.com/id-id/region/north-sulawesi-province-id.html
Provinsi Kalimantan Timur,358,https://www.agoda.com/id-id/region/east-kalimantan-province-id.html
Provinsi Lampung,299,https://www.agoda.com/id-id/region/lampung-province-id.html
Provinsi Aceh,292,https://www.agoda.com/id-id/region/aceh-province-id.html
Provinsi Riau,282,https://www.agoda.com/id-id/region/riau-province-id.html
Provinsi Kalimantan Selatan,206,https://www.agoda.com/id-id/region/south-kalimantan-province-id.html
Provinsi Kepulauan Bangka Belitung,182,https://www.agoda.com/id-id/region/bangka-belitung-islands-province-id.html
Provinsi Jambi,132,https://www.agoda.com/id-id/region/jambi-province-id.html
Provinsi Kalimantan Barat,128,https://www.agoda.com/id-id/region/west-kalimantan-province-id.html
Provinsi Papua Barat,116,https://www.agoda.com/id-id/region/west-papua-province-id.html
Provinsi Sulawesi Tengah,112,https://www.agoda.com/id-id/region/central-sulawesi-province-id.html
Provinsi Kalimantan Tengah,101,https://www.agoda.com/id-id/region/central-kalimantan-province-id.html
Provinsi Sulawesi Tenggara,86,https://www.agoda.com/id-id/region/south-east-sulawesi-province-id.html
Provinsi Papua,73,https://www.agoda.com/id-id/region/papua-province-id.html
Provinsi Maluku,72,https://www.agoda.com/id-id/region/maluku-province-id.html
Provinsi Bengkulu,68,https://www.agoda.com/id-id/region/bengkulu-province-id.html
Provinsi Gorontalo,42,https://www.agoda.com/id-id/region/gorontalo-province-id.html
Provinsi Kalimantan Utara,32,https://www.agoda.com/id-id/region/north-kalimantan-province-id.html
Provinsi Maluku Utara,28,https://www.agoda.com/id-id/region/north-maluku-province-id.html
Provinsi Sulawesi Barat,6,https://www.agoda.com/id-id/region/west-sulawesi-province-id.html
